职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
投资经理助理（私募股权投资基金）,福建泉州匹克体育用品有限公司,厦门市,0,无,2019-5-13 8:51,职责：1、协助投资经理收集整理基础数据，参与项目尽职调查工作。2、项目成立内部流程文件整理、申报。3、项目投后跟踪。4．投资经理交办的其他工作。要求：1．有志于从事一级市场的相关工作，有清晰的...
组训岗,人保汽车保险销售服务有限公司厦门市分公司,厦门市思明区,4600,本科,2019-5-13 8:42,岗位职责：1. 推动并实施公司学习型组织建设，落实分公司的各项培训制度；2. 了解各层级、各类员工的培训需求，制定支公司年度培训计划、费用预算及各项培训制度；3. 组织落实本公司培训项目，推动分公司布置...
助贷团队经理,人保汽车保险销售服务有限公司厦门市分公司,厦门市思明区,14000,大专,2019-5-13 8:42,岗位职责： 1. 带领团队开拓市场，达成团队业绩目标；2. 负责团队人员招募，确保团队人员编制数量；3. 主持团队会议，总结营销经验，对信贷经理进行培训、指导、激励；4. 负责向团队人员宣贯公司及部门的各...
服务运营岗,人保汽车保险销售服务有限公司厦门市分公司,厦门市思明区,3600,本科,2019-5-13 8:42,岗位职责：1、负责进件客户信息、资料审核、系统录入及影像上传工作；2、负责客户资料信息文档的收集、归类、归档及保密工作；3、积极主动完成分公司及营销机构领导交办的其他工作事项。任职要求:1、本科...
助贷客户经理,人保汽车保险销售服务有限公司厦门市分公司,厦门市思明区,11500,大专,2019-5-13 8:42,岗位职责：1、完成公司及部门经理分配的销售任务； 2、负责客户的开发以及发现客户需求或引导客户的信贷需求，积极响应客户，为客户提供一站式的信贷服务； 3、客户贷款申请的受理、客户签约以及客户的贷后管...
大宗商品交易员,厦门黄金投资有限公司,厦门市、上海市,7500,本科,2019-5-13 8:23,岗位职责：1、负责大宗商品的研究工作，了解市场动态，收集并整理相关行业新闻和信息，独立开展化工、原油、煤炭、镍、铅等大宗商品中某个具体品种的行情分析，并根据研究对数据库进行整理和维护；2、在授权内对...
大宗商品高级交易员,厦门黄金投资有限公司,厦门市、上海市,17500,本科,2019-5-13 8:23,岗位职责：1、负责大宗商品的研究工作，了解市场动态，收集并整理相关行业新闻和信息，带领团队开展贵金属、有色金属等大宗商品行情分析，并根据研究对数据库进行整理和维护；2、在授权内负责制定交易策略，并执...
投资经理,连捷投资集团有限公司,厦门市,11500,,2019-5-13 8:19,★工作职责：1、独立开展相关产业链及上市公司研究，深入调研并前瞻判断，以自下而上挖掘/推荐个股为首要职责；2、研究资料与数据的收集与整理、模型搭建、配合完成研究报告撰写3、及时提示个股投资机会和风险...
分析师,连捷投资集团有限公司,厦门市,9000,本科,2019-5-13 8:19,★工作职责：1、负责研究资料与数据的收集与整理、模型搭建、配合完成研究报告撰写；2、协助其他研究和日常工作事宜；3、经过培养，形成系统的行研分析逻辑和框架、独立分析判断能力，能够对跟踪行业和公司进...
融资专员,厦门中坤化学有限公司,厦门市海沧区,0,本科,2019-5-13 7:35,1、负责集团国内银行流动资金贷款申请及提款；2、银行承兑汇票的开具及贴现；3、银行信用证的开具及议付；4、银行采购发票融资；5、公司外债业务的申请；6、集团香港出口发票融资及调款；7、主管交办的...
金融顾问,厦门硕美天成电子商务有限公司,厦门市思明区,7000,,2019-5-12 11:42,1、协助部门总监推进互联网金融产品和服务开发，组织互联网营销推介与服务管理；2、组织与外部保险、银行、证券、基金等金融服务机构的合作，拓展互联网金融业务；3、协调内外部业务资源，为各业务线开展网络金...
财务总监,厦门市聚圣投资管理有限公司,厦门市、福州市、泉州市,12500,,2019-5-12 7:12,1.全日制本科及以上，35-45周岁；金融、投资、经济学、会计学等相关专业；具有中级及以上职称；2.具有10年财务工作管理经验，担任大、中型企业财务（审计）部门财务总监三年以上任职经历；3.具有扎实的财务专业...
成本会计、金融投资  投资银行（兼职）,厦门市聚圣投资管理有限公司,厦门市,6500,大专,2019-5-12 7:12,岗位职责：1.参与推进全面预算管理工作2.统计、核对和分析公司各部门相关成本数据，进行成本核算；3.对公司每月生产的产品进行精细化成本核算；4.根据成本构成、预算定额、历史发生情况以及计划指标进行比较...
"行政/人事助理
                            [实习]",企大大（厦门）企业服务有限公司,厦门市、厦门市湖里区,2500,,2019-5-11 20:20,岗位职责：1.协助销售经理对目标客户进行攻关、维护和培养2.客户咨询，售前售后合同的签订等3.协助负责客户需求、市场信息、竞争对手等的市场调研工作和产品分析对比；4.负责一些简单的线上培训工作5.维护...
汽车金融专员,厦门诚泰达汽车贸易有限公司,厦门市同安区,4500,,2019-5-11 17:54,岗位职责：1、按照汽车贷款流程提供汽车贷款业务，办理贷款业务相关手续，并进行记录；2、制定贷款业务方案，工作计划等；3、相关报表、数据提报、总结等。
